gene_group,GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term,Gene_Names
TATA genes,GO:0040003,6.84E-27,10.84107548,5.754846832,44,191,chitin-based cuticle development,"Acp65Aa, Ccp84Aa, Ccp84Ab, Ccp84Ad, CG34461, Cht9, Cpr11A, Cpr23B, Cpr35B, Cpr47Eb, Cpr49Ad, Cpr49Ae, Cpr49Af, Cpr49Ag, Cpr50Cb, Cpr56F, Cpr62Bb, Cpr65Av, Cpr65Ax2, Cpr65Ay, Cpr65Eb, Cpr65Ec, Cpr67B, Cpr67Fb, Cpr76Ba, Cpr76Bb, Cpr92F, Cpr97Ea, Cpr97Eb, Edg78E, Lcp4, Lcp65Aa, Lcp65Ab1, Lcp65Ad, Lcp65Af, TwdlC, TwdlE, TwdlH, TwdlK, TwdlO, TwdlP, TwdlQ, TwdlV, TwdlX"
TATA genes,GO:0006508,7.38E-16,3.372923835,27.11707931,74,900,proteolysis,"alphaTry, Bace, betaTry, CG11911, CG12256, CG13318, CG14523, CG14642, CG14780, CG14820, CG15255, CG17134, CG17475, CG17571, CG17633, CG18180, CG18417, CG18493, CG18585, CG2681, CG30025, CG30031, CG30371, CG31265, CG31266, CG31267, CG31343, CG31821, CG31954, CG32269, CG32270, CG32483, CG33127, CG33128, CG33160, CG3344, CG34290, CG3734, CG4386, CG4653, CG5255, CG5849, CG6048, CG6696, CG8562, CG8773, CG8774, CG9673, deltaTry, epsilonTry, etaTry, gammaTry, iotaTry, Jon25Bi, Jon25Bii, Jon25Biii, Jon44E, Jon65Ai, Jon65Aii, Jon65Aiii, Jon65Aiv, Jon99Ci, Jon99Ciii, Jon99Fi, Jon99Fii, kappaTry, Nep4, pcl, Phae2, Ser6, spheroide, thetaTry, yip7, zetaTry"
TATA genes,GO:0006030,4.71E-15,8.944624625,3.796391104,26,126,chitin metabolic process,"Cda9, CG10725, CG13675, CG13806, CG14300, CG17826, CG32284, CG32302, CG33985, CG34282, CG34426, CG43896, CG4835, CG7248, CG7252, CG7290, CG7298, Cht9, Muc11A, Muc18B, Muc96D, Mur18B, obst-F, obst-H, Peritrophin-15a, Peritrophin-15b"
TATA genes,GO:0006040,3.89E-14,8.050482915,4.127822073,26,137,amino sugar metabolic process,"Cda9, CG10725, CG13675, CG13806, CG14300, CG17826, CG32284, CG32302, CG33985, CG34282, CG34426, CG43896, CG4835, CG7248, CG7252, CG7290, CG7298, Cht9, Muc11A, Muc18B, Muc96D, Mur18B, obst-F, obst-H, Peritrophin-15a, Peritrophin-15b"
TATA genes,GO:0016998,1.61E-05,23.30306699,0.361561057,5,12,cell wall macromolecule catabolic process,"CG16756, LysB, LysD, LysE, LysS"
TATA genes,GO:0071554,5.65E-05,16.3079096,0.451951322,5,15,cell wall organization or biogenesis,"CG16756, LysB, LysD, LysE, LysS"
TATA genes,GO:0043171,0.000942198,7.758272801,0.783382291,5,26,peptide catabolic process,"CG17636, CG31343, CG5849, CG8773, CG8774"
TATA genes,GO:0010171,0.001128111,7.404982024,0.813512379,5,27,body morphogenesis,"TwdlK, TwdlO, TwdlP, TwdlQ, TwdlX"
TATA genes,GO:0015850,0.001773655,9.289336016,0.542341586,4,18,organic hydroxy compound transport,"Npc1b, Npc2d, Npc2e, Npc2h"
TATA genes,GO:0030301,0.00199022,16.22191011,0.271170793,3,9,cholesterol transport,"Npc1b, Npc2d, Npc2h"
